1.2534	1.115	1.1421	1.2442	1.3265	1.2656	1.2562	1.3161	1.292	1.3267	1.3868	1.3928	1.4162	1.3727	1.3699	1.4355	1.4118	1.4884	1.3929	1.4051	1.6288	1.5422	1.3841	1.3757	1.3971	1.3299	1.2913	1.3265	1.4154	1.4417	1.4471	1.4657	1.4623	1.4638	1.5534	1.5029	1.5689	1.5412	1.5304	1.5712	1.5553	1.5328	1.5773	1.6131	1.6314	1.626	1.6521	1.395	1.2567	1.1687	1.1171	1.1855	1.2155	1.1536	1.1777	1.2113	1.236	1.3593	1.3285	1.3466	1.3034	1.3249	1.4539	1.3494	1.3013	1.4276	1.3661	1.3769	1.4046	1.1705	1.3528	1.2832	1.3608	1.4128	1.4003	1.414	1.4538	1.4671	1.4727	1.4984	1.4891	1.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.2534	1.115	1.1421	1.2442	1.3266	1.2656	1.2563	1.3161	1.292	1.3268	1.3868	1.3928	1.4163	1.3727	1.3699	1.4355	1.4118	1.4884	1.3929	1.4051	1.6289	1.5423	1.3842	1.3757	1.3971	1.33	1.2914	1.3265	1.4154	1.4417	1.4471	1.4657	1.4623	1.4638	1.5535	1.5029	1.569	1.5412	1.5304	1.5712	1.5553	1.5328	1.5773	1.6132	1.6315	1.626	1.6521	1.395	1.2567	1.1687	1.1171	1.1855	1.2155	1.1536	1.1777	1.2113	1.236	1.3593	1.3285	1.3466	1.3035	1.3249	1.4539	1.3494	1.3013	1.4276	1.3661	1.3769	1.4046	1.1705	1.3528	1.2832	1.3608	1.4128	1.4003	1.414	1.4538	1.4671	1.4727	1.4984	1.4891	1.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.2535	1.115	1.1421	1.2443	1.3266	1.2656	1.2563	1.3161	1.292	1.3268	1.3868	1.3928	1.4163	1.3727	1.3699	1.4356	1.4119	1.4884	1.393	1.4052	1.6289	1.5423	1.3842	1.3757	1.3971	1.33	1.2914	1.3265	1.4154	1.4417	1.4471	1.4657	1.4623	1.4639	1.5535	1.5029	1.569	1.5412	1.5304	1.5712	1.5553	1.5328	1.5774	1.6132	1.6315	1.626	1.6521	1.395	1.2568	1.1687	1.1171	1.1855	1.2155	1.1536	1.1777	1.2114	1.236	1.3593	1.3285	1.3466	1.3035	1.3249	1.4539	1.3494	1.3013	1.4276	1.3661	1.3769	1.4046	1.1705	1.3529	1.2833	1.3608	1.4129	1.4004	1.414	1.4538	1.4671	1.4727	1.4984	1.4891	1.5151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.5982	2.3193	2.3773	2.5897	2.7619	2.6272	2.6133	2.7394	2.6863	2.7654	2.8893	2.9037	2.9514	2.8586	2.8569	2.9973	2.9404	3.1078	2.9086	2.9357	3.4264	3.2116	2.8889	2.8834	2.9121	2.77	2.6983	2.7894	2.955	3.0183	3.0184	3.0724	3.0611	3.065	3.239	3.1499	3.2848	3.2351	3.1915	3.295	3.2267	3.2303	3.2994	3.3835	3.4179	3.4049	3.4609	2.8758	2.5786	2.4038	2.3097	2.4547	2.5082	2.3818	2.4344	2.5006	2.5557	2.819	2.7517	2.7981	2.7109	2.7534	3.0379	2.8104	2.7226	2.9768	2.8635	2.8911	2.9555	2.4653	2.8193	2.6989	2.8677	2.9801	2.9634	2.9745	3.0707	3.1025	3.1235	3.1813	3.1555	3.2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.3902	3.9084	4.0175	4.3943	4.6779	4.4995	4.4477	4.6588	4.5971	4.6966	4.9272	4.9398	5.0387	4.8824	4.8544	5.0952	5.029	5.2755	4.9384	4.9812	5.8309	5.4599	4.9264	4.8761	4.9667	4.7302	4.5767	4.6995	5.0341	5.1146	5.1383	5.2153	5.1839	5.2014	5.5057	5.3209	5.5756	5.48	5.4219	5.5899	5.4963	5.4691	5.6008	5.7364	5.798	5.7679	5.8616	4.2692	3.6395	3.3974	3.2851	3.4878	3.5258	3.3625	3.4416	3.5151	3.5918	3.9685	3.8514	3.9151	3.7978	3.861	4.268	3.9557	3.8584	4.1796	4.0413	4.0807	4.1773	3.4912	3.9495	3.8568	4.0684	4.2291	4.2303	4.2217	4.3636	4.4252	4.4647	4.5467	4.5128	4.5964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.3903	3.9086	4.0177	4.3944	4.678	4.4993	4.4478	4.6589	4.5971	4.6967	4.9272	4.9399	5.0387	4.8824	4.8545	5.0953	5.0289	5.2756	4.9385	4.9814	5.831	5.4599	4.9264	4.8764	4.9667	4.7302	4.5769	4.6999	5.0342	5.1149	5.1385	5.2155	5.1842	5.2017	5.5059	5.3213	5.5759	5.4803	5.4221	5.5902	5.4964	5.4695	5.6011	5.7368	5.7984	5.7683	5.8621	4.2727	3.6435	3.4011	3.2886	3.4914	3.5296	3.3661	3.4452	3.519	3.5957	3.9728	3.8557	3.9195	3.802	3.8652	4.2727	3.9599	3.8624	4.1841	4.0456	4.085	4.1816	3.4947	3.9536	3.8605	4.0725	4.2333	4.2344	4.2259	4.3679	4.4295	4.469	4.5511	4.5171	4.6008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.3904	3.9088	4.0179	4.3946	4.6782	4.4992	4.4478	4.659	4.597	4.6968	4.9272	4.94	5.0386	4.8823	4.8546	5.0954	5.0288	5.2757	4.9386	4.9815	5.8311	5.4598	4.9265	4.8767	4.9668	4.7302	4.5771	4.7002	5.0343	5.1151	5.1386	5.2158	5.1845	5.2019	5.5061	5.3218	5.5762	5.4807	5.4224	5.5905	5.4965	5.4699	5.6014	5.7372	5.7987	5.7687	5.8625	4.2759	3.6473	3.4046	3.2918	3.4949	3.5333	3.3696	3.4487	3.5226	3.5995	3.9769	3.8597	3.9237	3.806	3.8692	4.2771	3.9639	3.8662	4.1883	4.0496	4.089	4.1857	3.4981	3.9576	3.864	4.0764	4.2374	4.2383	4.2299	4.372	4.4336	4.4731	4.5552	4.5212	4.6049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.3905	3.909	4.018	4.3947	4.6783	4.4991	4.4479	4.659	4.5969	4.6968	4.9272	4.94	5.0386	4.8823	4.8547	5.0955	5.0288	5.2758	4.9387	4.9817	5.8312	5.4598	4.9265	4.8769	4.9668	4.7302	4.5773	4.7006	5.0344	5.1153	5.1387	5.216	5.1847	5.2021	5.5062	5.3222	5.5764	5.481	5.4226	5.5908	5.4967	5.4703	5.6017	5.7375	5.7991	5.7691	5.863	4.279	3.6509	3.4079	3.2949	3.4982	3.5368	3.3728	3.452	3.5261	3.6031	3.9808	3.8636	3.9276	3.8098	3.873	4.2812	3.9677	3.8697	4.1923	4.0534	4.0928	4.1896	3.5013	3.9614	3.8674	4.08	4.2412	4.242	4.2337	4.3759	4.4375	4.4769	4.5591	4.5251	4.6088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.3906	3.9091	4.0182	4.3947	4.6784	4.499	4.4479	4.659	4.5969	4.6969	4.9272	4.94	5.0386	4.8822	4.8547	5.0956	5.0287	5.2759	4.9388	4.9818	5.8314	5.4598	4.9266	4.8772	4.9669	4.7302	4.5774	4.7009	5.0345	5.1155	5.1388	5.2162	5.185	5.2024	5.5064	5.3226	5.5766	5.4813	5.4228	5.5911	5.4968	5.4706	5.6019	5.7379	5.7994	5.7695	5.8634	4.282	3.6543	3.411	3.2978	3.5013	3.5401	3.3759	3.4552	3.5294	3.6065	3.9845	3.8672	3.9314	3.8135	3.8766	4.2852	3.9713	3.8731	4.1962	4.057	4.0965	4.1933	3.5043	3.965	3.8706	4.0835	4.2448	4.2455	4.2373	4.3796	4.4411	4.4806	4.5629	4.5288	4.6126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.8574	6.1222	6.2987	6.8914	7.3541	7.0169	6.9697	7.3029	7.1932	7.3852	7.7441	7.7516	7.9177	7.6555	7.6244	8.0024	7.8689	8.2716	7.751	7.8195	9.1723	8.464	7.7231	7.6934	7.7745	7.3585	7.1678	7.4462	7.8803	8.0229	8.0147	8.2018	8.1414	8.1585	8.5674	8.4034	8.7427	8.6488	8.4533	8.7911	8.4977	8.6857	8.7792	9.0274	9.103	9.0443	9.19	6.3473	5.2851	4.937	4.8169	5.1108	5.0896	4.878	5.0116	5.0829	5.2047	5.7711	5.5549	5.6722	5.5093	5.5759	6.2257	5.7404	5.6496	6.0452	5.9043	5.9412	6.1025	5.0968	5.6225	5.6601	5.9321	6.1647	6.1966	6.1297	6.3408	6.4363	6.5221	6.6376	6.565	6.6779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
